GTS 2020 ID,GTS 2012 ID,Sample,Locality,Lat-Long,Lithostratigraphy,Age (Ma),± 2s analytical,± 2s total,Age Type,Primary radioisotopic age details,Zonal range assignment/clade,Zonal range assignment/zonation,Zonal range assignment/zone,Biostratigraphy,Reference
S7,,M12 bentonite,"Malynivtsi 150 section, E. of Khotyn, Podolia, southwestern Ukraine","48o29.8'N, 26o36.10'E",upper Hrynchuk Fm,424.08,± 0.20,± 0.53,206Pb/238U,"Seven out of eight single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite/ conodont,,Upper Saetograptus leintwardinensis Zone and upper Polygnathoides siluricus Zone,Middle Ozarkodina crispa Polodian conodont zone places interval in the upper global Polygnathoides siluricus conodont zone and upper Baltic Saetograptus leintwardinensis graptolite zone,Cramer et al. (2015)
S6,S8,WNH15 bentonite,"Lion’s Mouth Cavern, Wren’s Nest Hill, Dudley, England","52.52227oN, 2.09668oW","Upper Quarried Limestone Mbr., Much Wenlock Limestone",427.77,± 0.50,± 0.68,206Pb/238U,"Six out of eleven single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite/ conodont,,Uppermost Colonograptus ludensis Zone,"From detailed regional correlation this bentonite is likely only cm’s below the base Ludlow GSSP. Therefore, a correlation with the uppermost part of the Colonograptus ludensis zone is assigned.",Cramer et al. (2012)
S5,S7,lower of two bentonites separated by 16 cm; Djupvik bentonite,"Djupvik 1 Locality, W. Gotland, Sweden","57o18.9'N, 18o10.1'E","Djupvik Member, Halla Fm",428.06,± 0.48,± 0.68,206Pb/238U,"Six out of nine single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite/ conodont,,"Upper part of Colonograptus praedeubeli to lower part of C. ludensis zones","Within the Kockelella ortus absidata conodont zone, correlated to a position somewhere from high in the Colonograptus praedeubeli/deubeli to low in the C. ludensis graptolite zones",Cramer et al. (2012)
S4,S6,upper part of the 30-cm-thick Grotlingbo bentonite,"Ho ̈ rsne 3 Locality, central Gotland, Sweden","57.5oN, 18.5oE","Mulde Brickclay Mbr., Halla Fm",428.47,± 0.54,± 0.72,206Pb/238U,"Five out of nine single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite/ conodont,,Pristiograptus dubius parvus/Gothograptus nassa Zone,Within the Ozarkodina bohemica longa conodont zone and the Pristiograptus dubius parvus/Gothograptus nassa graptolite zone.,Cramer et al. (2012)
S3,S4,Ireviken bentonite,"Ireviken 1 Locality, Gotland, Sweden","57.8oN, 18.4oE",Lower Visby Fm,431.8,± 0.53,± 0.71,206Pb/238U,"11 out of 15 single grain zircon analyses from the Ireviken Bentonite yield a weighted mean 206Pb/238U age (including analytical error, tracer error, and decay constant error), utilizing CA-TIMS and the ET535 spike.",graptolite,,"Middle to upper part of the Cyrtograptus murchisoni Zone","14 cm above Ireviken Event Datum 2 (base of the Upper Pseudooneotodus bicornis conodont zone), which is within cm’s of the base Wenlock GSSP.",Cramer et al. (2012)
S2,S3,K-bentonite,"Osmundsberg North Quarry, Siljan, Dalarna, south-central Sweden","61o01'03""N, 15o12'04""E",Kallholn Shale,438.74,± 1.11,± 1.20,206Pb/238U,"Four single grain zircon analyses yield a weighted mean 206Pb/238U age [including 0.1% tracer uncertainty, Mundil et al. (2004)]",graptolite,,"Spirograptus turriculatus Zone","Spirograptus turriculatus Zone, Telychian Stage of the Llandovery Series",Bergstrom et al. (2008)
S1,S2,Ash,"Dob’s Linn, Moffat, Scotland, UK","55.44oN, 3.27oW",Birkhill Shales,439.57,± 1.24,± 1.33,206Pb/238U,Six multigrain zircon fractions yield a weighted mean 206Pb/238U age.,graptolite,,Coronogr. cyphus Zone,"Exact level uncertain, Coronogr. cyphus Zone assigned by Ross et al. (1982) and accepted here.","Tucker et al. (1990), Ross et al. (1982), Toghill (1968)"
O42,,"K-bentonite, sample YC0601","Hirnantian GSSP at Wangjiawan North Section, Yichang, Hubei","30.9841oN, 111.4197oE",039 below base of the Kuanyinchiao Bed,443.2,± 1.60,± 2.73,206Pb/238U      ion probe,"Weighted mean of 18 (of 20) zircon spots using SHRIMP II (Beijing), calibrated to standard TEM.",graptolite,South China,top of Metabolograptus extraordinarius Zone,uppermost Metabolograptus extraordinarius Zone,Hu et al. (2008)
O41,O16,Ash,"Dobbs Linn (Linn Branch), Scotland","55.44oN, 3.27oW",Hartfell Shales,444.88,± 1.07,± 1.17,206Pb/238U,Four multigrain zircon fractions yield a weighted mean 206Pb/238U age of 444.88 6 1.17 Ma,graptolite,Britain,"Paraorthograptus pacificus Zone","Approximately 4.5 m below Ordov/Sil GSSP, Paraorthograptus pacificus Zone",Tucker et al. (1990)
O40,,"Manheim K-bentonite, sample W1204_12.8","Nowadaga Creek, New York, USA","42o59.205'N, 74o48.401'W","Indian Castle Fm, Trenton Group",450.68,± 0.12,± 0.53,206Pb/238U,"Six of six single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite,North America,"top of Diplacanthograptus spiniferus Zone",top of Diplacanthograptus spiniferus Zone,Macdonald et al. (2017)
O39,,Reedville Calmar K- bentonite,"Reedsville, Pennsylvania, USA","52o18'50.2""N, 9o58'05.5""E",Antes Shale,451.2,± 0.13,± 0.50,206Pb/238U,"Eight of eight single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",graptolite,North America,"lowermost Diplacanthograptus spiniferus Zone",Bentonite just above base of the Diplacanthograptus spiniferus Zone,Taylor et al. (2015)
O38,,Manheim Falls K- bentonite,"North Creek, New York, USA","43o5.330'N, 74o55.943'W","Dolgeville Fm, Trenton Group",451.26,± 0.10,± 0.53,206Pb/238U,"Seven of nine single grain zircon analyses (excluding two older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite,Australian,"lowermost Diplacanthograptus spiniferus Zone","Dlgevilel Fm contains graptolites of the Orthograptus rudemanni zone. Manheim bentonite correlated through apatite chemistry to the Calmar K-bentonite (Sell et al., 2015). N.Amer. O. rudemanni Zone considered coeval with lower D. spiniferous Zone of Australia.",Macdonald et al. (2017)
O37,,"Manheim K-bentonite, sample F1302_1.8","Nowadaga Creek, New York, USA","42o59.724'N, 74o47.286'W","Dolgeville Fm, Trenton Group",451.42,± 0.10,± 0.53,206Pb/238U,"Six of nine single grain zircon analyses (excluding three older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite,Australian,"lowermost Diplacanthograptus spiniferus Zone","Dlgevilel Fm contains graptolites of the Orthograptus rudemanni zone. Manheim bentonite correlated through apatite chemistry to the Calmar K-bentonite (Sell et al., 2015). N.Amer. O. rudemanni Zone considered coeval with lower D. spiniferous Zone of Australia.",Macdonald et al. (2017)
O36,,Chuctanunda K- bentonite,"Chuctanunda Creek, New York, USA","42o54.869'N, 74o13.792'W","Flat Creek Fm, Trenton Group",451.71,± 0.13,± 0.53,206Pb/238U,"Eight of eight single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite,Australian,Diplacanthograptus lanceolatus,Contains graptolites of the Corynoides americanus biozone. C. americanus considered coeval with the Australian Diplacanthograptus lanceolatus Zone.,Macdonald et al. (2017)
O35,,Sherman Falls K- bentonite,"Flat Creek, New York, USA","42o52.069'N, 74o32.266'W","Flat Creek Fm, Trenton Group",452.82,± 0.08,± 0.53,206Pb/238U,"Five of eight single grain zircon analyses (excluding three older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite,Australian,Diplacanthograptus lanceolatus,Contains graptolites of the Corynoides americanus biozone. C. americanus considered coeval with the Australian Diplacanthograptus lanceolatus Zone.,Macdonald et al. (2017)
O34,,Shakertown Millbrig K- bentonite,"Outcrop on U.S. Highway 68,1.6 km southwest of intersection with State Route 33, at entrance to Shakertown, Mercer County, KY, USA","37o49'N, 84o45'W",Tyrone Fm,452.86,± 0.29,± 0.59,206Pb/238U,"Three of five single grain zircon analyses (excluding two older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",graptolite/ conodont,N. Atlantic/    N. Amer. Midcont.,Upper Climacograptus bicornis Zone,Climacograptus bicornis Zone/Phragmodus undatus Zone,Sell et al. (2013)
O33,,"K-bentonite, sample Upper Womble","Black Knob Ridge, Atoka, Oklahoma; Katian Global Stratotype Section and Point (GSSP)","34o25'39.08""N, 96o04'3.78""W",Upper Womble Shale,453.16,± 0.24,± 0.57,206Pb/238U,"Ten of twelve single grain zircon analyses (excluding two younger grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",graptolite/ conodont,N. Atlantic/    N. Amer. Midcont.,Climacograptus bicornis Zone/Phragmodus undatus Zone,"Diagnostic graptolites include C. bicornis, C. bicornis tridentatus, Orthograptus whitfieldi, O. calcaratus ssp., Archiclimacograptus modestus, Dicranograptus spinifer, D. contortus, D. arkansasensis, Normalograptus brevis, and Nemagraptus gracilis; the co-occurrence of I. cf. I. superba and A. tvaerensis indicates the B. alobatus Subzone of the A. tvaerensis Zone.",Sell et al. (2013)
O32,,"K-bentonite, sample LOQ-B","L’Orignal Quarry, Ontario, Canada","45o31'N, 74o22'W",top of the L’Orignal Fm,453.36,± 0.38,± 0.65,206Pb/238U,"Six of six single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite/ conodont,N. Atlantic/    N. Amer. Midcont.,"Climacograptus bicornis Zone",No biostrat included; but considered to be equivalent to the Millbrig bentonite’ which would be near base of Plectodina tenuis conodont zone (Fig. 13 in their paper),Oruche et al. (2018)
O31,,"K-bentonite, sample Lower Womble","Black Knob Ridge, Atoka, Oklahoma; Katian Global Stratotype Section and Point (GSSP)","34o25'39.08""N, 96o04'3.78""W",Upper Womble Shale,453.98,± 0.33,± 0.62,206Pb/238U,"Six of eight single grain zircon analyses (excluding two older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",graptolite/ conodont,N. Atlantic/    N. Amer. Midcont.,Climacograptus bicornis Zone/Phragmodus undatus Zone,"Diagnostic graptolites include C. bicornis, C. bicornis tridentatus, Orthograptus whitfieldi, O. calcaratus ssp., Archiclimacograptus modestus, Dicranograptus spinifer, D. contortus, D. arkansasensis, Normalograptus brevis, and Nemagraptus gracilis; the co-occurrence of I. cf. I. superba and A. tvaerensis indicates the B. alobatus Subzone of the A. tvaerensis Zone.",Sell et al. (2013)
O30,,Shakertown Deicke K- bentonite,"Outcrop on U.S. Highway 68,1.6 km southwest of intersection with State Route 33, at entrance to Shakertown, Mercer County, KY, USA","37o48.985'N, 84o45.432'W",Tyrone Fm,453.74,± 0.20,± 0.56,206Pb/238U,"Four of five single grain zircon analyses (excluding one older grain) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",graptolite/ conodont,N. Atlantic/    N. Amer. Midcont.,Upper Climacograptus bicornis Zone,Climacograptus bicornis Zone/Phragmodus undatus Zone,Sell et al. (2013)
O29,,"K-bentonite, sample C- 10-11 upper Grimstorp bentonite","Linlandveien road section, Vollen, Oslo, Norway; 7 m above base ","59o48.19'N, 10o29.21'E",Arnestad Fm,453.91,± 0.37,± 0.61,206Pb/238U,"Thirteen of sixteen single grain zircon analyses (excluding one younger and two older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and in-house spike intercalibrated to ET100 solution.",conodont,North America,Amorphognathus tvaerensis Zone,Amorphognathus tvaerensis Zone,Svensen et al. (2015)
O28,,Vasagard Kinnekulle K- bentonite,"Vasagard section along Lœsa brook, Bornholm, Denmark; 0.5*2 m above base","54o52'N, 14o55'W",Skagen Fm,454.41,± 0.17,± 0.53,206Pb/238U,"Eight of eight single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",graptolite/ conodont,Britain,"Upper Diplograptus foliaceus Zone;S. cervicornis Zone",Upper Diplograptus foliaceus Zone; S. cervicornis Zone,Sell et al. (2013)
O27,,Ristikula bed 46 K- bentonite,"Ristikula core, Pa ̈rnu County, SW Estonia","~58.2oN, 24.8oW",bed 46,454.65,± 0.56,± 0.75,206Pb/238U,"Five of five single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",chitinozoan,,S. cervicornis Zone,S. cervicornis Zone,Sell et al. (2013)
O26,,"Arnestad Kinnekulle K- bentonite, sample C-10- 9 Arnestad tephra (tuff B)","Linlandveien road section, Vollen, Oslo, Norway; 21 to 0 m below base","59o48.19'N, 10o29.21'E",Arnestad Fm,454.52,± 0.50,± 0.70,206Pb/238U,"Eleven of fourteen single grain zircon analyses (excluding one younger and two older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and in-house spike intercalibrated to ET100 solution.",conodont,North Atlantic,Amorphognathus tvaerensis Zone,Amorphognathus tvaerensis Zone,Svensen et al. (2015)
O25,,"K-bentonite, sample EB16-S-28.63","Sinsen railway cut, Oslo, Norway; 28.63-m above base","59o56.138'N, 10o46.983'E",Arnestad Fm,456.84,± 0.48,± 0.69,206Pb/238U,"Four of six single grain zircon analyses (excluding one younger and one older grain) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and in-house spike intercalibrated to ET100 solution.",graptolite/ conodont,Baltic,Climacograptus bicornis graptolite zone or Amorphognathus tvaerensis conodont zone,"Based on the stratigraphic relationship to the Kinnekulle bentonite suite, these beds are Mid- Late Sandbian in age-Climacograptus bicornis graptolite Zone or Amorphognathus tvaerensisconodont Zone.",Ballo et al. (2019)
O24,,"K-bentonite, sample EB16-S-0","Sinsen railway cut, Oslo, Norway; 0- m above base","59o56.138'N, 10o46.983'E",Arnestad Fm,457.66,± 0.65,± 0.83,206Pb/238U,"Two of four single grain zircon analyses (excluding one younger and one older grain) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and in-house spike intercalibrated to ET100 solution.",graptolite/ conodont,Baltic,Upper Nemagraptus gracilis Zone?,"Based on the stratigraphic relationship to the Kinnekulle bentonite suite, these beds are Mid Sandbian in age-Nemagraptus gracilis graptolite Zone (might be below base of B. cornis) or Amorphognathus tvaerensisconodont Zone.",Ballo et al. (2019)
O23,,K-bentonite,"East River Mountain Tunnel, I-77, Mercer County, West Virginia, USA","37o17.0'N, 18o07.5'E",Elway Fm,458.76,± 0.26,± 0.56,206Pb/238U,"Five of five single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",conodont,N. Atlantic/N. Amer. Midcont.,Upper Cahabagnathus sweeti Zone?,"Conodont fauna in the Elway Fm immediately below the ERM K-b consists of Plectodina aculeata?, Pteracontiodus sp., Phragmodus sp. cf. Phragmodus flexuous, Panderodus sp., and Erismodus sp. conodont fauna in Elway Fm immediately above the ERM K-b consists of Pl. aculeata, Ph. flexuosus, Pa. sp., Er. sp., Curtognathus sp., . . . and Appalachignathus delicatulus.",Leslie et al. (2012)
O22,O8,Gritty calcareous ash,"Llandindrod, central Wales","~52.2oN, 3.4oW",Llanvirn Series,458.76,± 2.19,± 2.24,206Pb/238U,Five multigrain zircon fractions yield a weighted mean 206Pb/238U age of 458.76 6 2.24 Ma (95% conf. int. including geologic scatter).,graptolite ,Britain,"Didymograptus murchisoni Zone",Didymograptus murchisoni immediately below sampled ash “considered by Elles to be close to base G. teretiusculus Zone”,Tucker and McKerrow (1995)
O21,O6,Indurated bentonite,"Abereiddy Bay, Wales","~51.9oN, 5.2oW","Lower rhyolitic tuff, Llanrian Volc Fm",462.9,± 1.23,± 1.32,206Pb/238U,Three multigrain zircon fractions yield a weighted mean 206Pb/238U age and corroborating weighted mean 207Pb/206Pb age [recalculated using the U decay constant ratio of Mattinson (2010)],graptolite ,Britain,"Didymograptus murchisoni Zone",Immediately overlying Cyffredin Shale is of Didymograptus murchisoni zone age (Tucker and McKerrow 1995).,Tucker et al. (1990)
O20,O5,Ash flow,"Arenig Fawr, Wales","~52.9oN, 3.7oW",Serv Fm,456.61,± 1.69,± 1.76,206Pb/238U,Two multigrain zircon fractions yield a weighted mean 206Pb/238U age.,graptolite ,Britain,Didymograptus artus Zone,Underlying mudstone contains Didymograptus artus Zone graptolites,Tucker et al. (1990)
O19,,"K-bentonite, sample F1456","Red slate quarry, Giddings Brook Thrust Sheet, eastern New York, USA","43o28.960'N, 73o19.098'W",upper Indian River Fm,464.2,± 0.13,± 0.55,206Pb/238U,"Six of six single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",none,,?,"No fossils have been identified within the Indian River Formation. Sharply overlain by Mount Merino Fm that contains N. gracilis graptolite zone in upper part (early Sandbian). Their Fig. 11 suggests that the dated Indian River ashes might be lower Darriwilian.",Macdonald et al. (2017)
O18,,"K-bentonite, sample Mainland 41 m","Mainland Section, Port au Port Peninsula, western Newfoundland, Canada; 41 m above base","~48.5oN, 49.0oW",Cape Cormorant Fm,464.5,± 0.40,± 0.64,206Pb/238U,"Five of five single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",graptolite,N. America,Pterograptus elegans Zone,Pterograptus elegans Zone,Sell et al. (2011)
O17,,"K-bentonite, sample D","West Bay Centre quarry section, Port au Port Peninsula, western Newfoundland, Canada","~48.5oN, 49.0oW",Table Head Group,464.57,± 0.95,± 1.07,206Pb/238U,"Three of three single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",conodont,N. America,upper Holmograptus holodentata Zone,"Holmograptus spinosus graptolite zone (regional zone equivalent to upper Holm. lentus Zone according to Maletz (2009), [D. Goldman 29 Apr 2019 “New conodont information indicates upper Histiodella holodentata conodont zone.”]",Sell et al. (2011)
L16,,Likhall Bed zircons recovered from limestone,"Thorsberg Quarry, Kinnekulle, Sweden","58o34'45""N, 13o25'46""E","Likhall Bed, Taljsten Interval",467.5,± 0.28,± 0.62,206Pb/238U,"Eight of sixteen single grain zircon analyses (excluding six older grains and two younger grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET2535 spike.",conodont,Argentina,base of Y. crassus Zone,The base of the ‘Likhall’ bed coincides with the boundary between the globally recognized Lenodus variabilis and Yangtzeplacognathus crassus conodont zones.,Lindskog et al. (2017)
O15,O7,ARG-1 K-bentonite,"Cerro Viejo, near Ja ́chal, San Juan Province, Argentina","30o11'05""S, 68o35'05""W",Lower Member of the Los Azules Fm,465.46,± 3.49,± 3.53,206Pb/238U,Three multigrain zircon fractions (14 grains total) yield a weighted mean 206Pb/238U age of 465.46 6 3.53 Ma (95% conf. int. including geologic scatter).,graptolite,Austral-asian,U. sinicus Subzone of the U. austrodentatus Zone,10 graptolite species listed by Mitchell et al. (1998); the U. sinicus Subzone of the U. austrodentatus Zone. Based on Ortega et al. (2007) this is Da2-L. dentatus graptolite zone.,Huff et al. (1997)
O14,,"K-bentonite, sample KB- 1","Cerro La Chilca section, San Juan Province, Argentina","30o36'16.9""S, 69o47'41.0""W",Upper San Juan Fm,469.53,± 0.26,± 0.62,206Pb/238U,"Six of nine single grain zircon analyses (excluding three older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,North Atlantic,L. variabilis?,All three dated beds are in the upper San Juan Formation. Conodont range information is not yet available but estimated to be lowermost Darriwilian (L. variabilis or L. antivariabilis).,Thompson et al. (2012)
O13,,"K-bentonite, sample KBT-10","Talacasto section, San Juan Province, Argentina","31o00'35.5""S, 68o46'12.0""W",Upper San Juan Fm,469.63,± 0.21,± 0.60,206Pb/238U,"Five of seven single grain zircon analyses (excluding two older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,North Atlantic,L. variabilis?,"L. antivariabilis to L. variabilis conodont zones, assumed that this same-dated horizon in this section is similar in age to the nearby section for O15 (See comment on O13)",Thompson et al. (2012)
O12,,"K-bentonite, sample KBT-7","Talacasto section, San Juan Province, Argentina","31o00'35.5""S, 68o46'12.0""W",Upper San Juan Fm,469.86,± 0.33,± 0.65,206Pb/238U,"Four of six single grain zircon analyses (excluding two older grains) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,North Atlantic,L. variabilis?,"L. antivariabilis to L. variabilis conodont zones, assumed that this same-dated horizon in this section is similar in age to the nearby section for O15 (See comment on O13)",Thompson et al. (2012)
O11,,"K-bentonite, sample 221598","Olympic 1 well, Broome Platform, Canning Basin, Western Australia; 1165.44*1165.45 m below top of core","18o15'00.8""S,122o37'10.9""E",Willara Fm,470.18,± 0.13,± 0.55,206Pb/238U,"Eight of eight single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,Austral-asian,Jumudontus gananda Zone,Condonts of the J. gananda Zone,Normore et al. (2018)
O10,,"K-bentonite, sample KGC2","Knock Airport section, Charlestown Inlier, County Mayo, Ireland; 13-m above base of section","53.914677oN, 8.8075466oW",upper Horan Fm,472.01,± 0.19,± 0.55,206Pb/238U,"Four of six single grain zircon analyses (excluding one older and one younger grain) have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite,Austral-asian,C. morsus Zone,"Graptolites sampled at 10-m above base in the section (and 2 m below this dated horizon) include Pseudisograptus sp. of the manubriatus group, and Exigraptus uniformis and Skiagraptus gnomonicus, indicating a latest Dapingian (i.e. Yapeenian Ya 2/late Arenig) age.",Herrington et al. (2018)
O9,,"K-bentonite, sample 221599","Olympic 1 well, Broome Platform, Canning Basin, Western Australia; 1239.27*1239.30 m below top of core","18o15'00.8""S, 122o37'10.9""E","Upper Member, Nambeet Fm",471.32,± 0.11,± 0.55,206Pb/238U,"Seven of seven single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,Austral-asian,O. communis Zone,"Condonts of the Oepikodus communis Zone, for which correlation with graptolite biostratigraphy should be P. fruticosus graptolite zone.",Normore et al. (2018)
O8,,"K-bentonite, sample 221600","Olympic 1 well, Broome Platform, Canning Basin, Western Australia; 1249.31*1249.33 m below top of core","18o15'00.8""S, 122o37'10.9""E","Upper Member, Nambeet Fm",471.78,± 0.13,± 0.56,206Pb/238U,"Seven of seven single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,Austral-asian,O. communis Zone,"Condonts of the Oepikodus communis Zone, for which correlation with graptolite biostratigraphy should be P. fruticosus graptolite zone.",Normore et al. (2018)
O7,,"K-bentonite, sample 221474","Olympic 1 well, Broome Platform, Canning Basin, Western Australia; 1264.61*1264.62 m below top of core","18o15'00.8""S, 122o37'10.9""E","Upper Member, Nambeet Fm",472.82,± 0.13,± 0.56,206Pb/238U,"Six of six single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,Austral-asian,O. communis Zone,"Condonts of the Oepikodus communis Zone, for which correlation with graptolite biostratigraphy should be P. fruticosus graptolite zone.",Normore et al. (2018)
O6,,"K-bentonite, sample KBT-3N","Talacasto section, San Juan Province, Argentina","31o00'35.5""S, 68o46'12.0""W",Upper San Juan Fm,473.45,± 0.40,± 0.70,206Pb/238U,"Four of four single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,Precordilleran,Uncertain; maybe base O. evae Zone,The biostratigraphy is currently questionable; upper Floian; base Oepikodus evae conodont zone?,Thompson et al. (2012
O5,,"K-bentonite, sample 221477","Olympic 1 well, Broome Platform, Canning Basin, Western Australia; 1335.03*1335.04 m below top of core","18o15'00.8""S, 122o37'10.9""E","Upper Member, Nambeet Fm",477.07,± 0.21,± 0.59,206Pb/238U,"Two of eight single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,Austral-asian,"P. oepiki - S. bilobatus Zone",Conodonts of the P. oepik - S. bilobatus Zone,Normore et al. (2018)
O4,,"K-bentonite, sample 221478","Olympic 1 well, Broome Platform, Canning Basin, Western Australia; 1339.56*1339.57 m below top of core","18o15'00.8""S, 122o37'10.9""E","Upper Member, Nambeet Fm",477.03,± 0.16,± 0.57,206Pb/238U,"Six of eight single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,Austral-asian,"P. oepiki - S. bilobatus Zone",Conodonts of the P. oepiki - S. bilobatus Zone,Normore et al. (2018)
O3,,"K-bentonite, sample 221480","Olympic 1 well, Broome Platform, Canning Basin, Western Australia; 1383.27*1383.28 m below top of core","18o15'00.8""S, 122o37'10.9""E","Upper Member, Nambeet Fm",479.37,± 0.16,± 0.57,206Pb/238U,"Seven of seven single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,Gond-wanan,P. proteus Zone,Conodonts of the P. proteus Zone,Normore et al. (2018)
O2,O2,Volcanic sandstone,"section McL-6, 4 km downstream of the ford where Bourinot Road crosses McLeod Brook, Cape Breton Island","~46.0oN, 60.5oW",Chelsey Drive Group,481.13,± 1.12,± 2.76,207Pb/206Pb,Six multigrain zircon fractions yield a weighted mean 207Pb/206Pb age of 481.13 6 2.76 Ma [recalculated using the U decay constant ratio of Mattinson (2010)].,trilobite,Avalonian,"Late Tremadocian (Hunnebergian), Late La2 Zone","Trilobite Peltocare rotundiformis, Hunnegr. cf. copiosus, Adelograptus of quasimodo type",Landing et al. (1997)
O1,O1,Crystal-rich volcanic sandstone,"Bryn-llin-fawr, Harlech Dome, N. Wales","52o51'35.9""N, 3o47'53.0""W","sequence boundary between Dolgellau and Dol-cyn-afon Fm, Mawddach Group",486.78,± 0.53,± 2.57,207Pb/206Pb,Fourteen single zircon grains yield a weighted mean 207Pb/206Pb age of 486.78 6 2.57 Ma [recalculated using the U decay constant ratio of Mattinson (2010)],graptolite,Avalonian,"Base, R. praeparabola Zone, base Ordovician","Close to top Acercare Zone. Dated ash is 4 m below appearance of Rhabdinopora, and 5 m below R.f. parabola. It is therefore very close to C/O boundary",Landing et al. (2000)
C16,C11,Crystal-rich volcanic sandstone,"Ogof-ddu, Criccieth, N. Wales","52o55.138'N, 4o12.803'W","lower Dolgellau Fm, Mawddach Group",488.71,± 1.17,± 2.78,207Pb/206Pb,"Nine multigrain zircon fractions to yield a weighted mean 207Pb/206Pb age of 488.71 6 1.17 (analytical) or 6 2.78 Ma (total) [as recalculated using the U decay constant ratio of Mattinson (2010)]",trilobite,Avalonian,Lower Peltura scarabaeoides Zone,Peltura scarabaeoides scarabaeoides below and P.s. westergardi above “indicate the third subzone (Parabolina lobata Subzone) of the Peltura scarabaeoides Zone in Norway.,Davidek et al. (1998)
C15,C10,Volcanic ash bed,"Taylor Nunatak, Shackleton Glacier, Antarctica","87o19.114'S, 149o26.079'W",Taylor Fm,502.1,± 2.40,± 3.50,207Pb/206Pb,"Sample TAY-F, two multigrain zircon fractions yield a weighted mean 207Pb/206Pb age of 502.1 6 3.5 Ma [recalculated using the U decay constant ratio of Mattinson (2010)]",trilobite,Gond-wanan,Undillan Stage,"Trilobites in carbonate bed, 1 km from dated samples. Amphoton cf. oatesi, Nelsonia cf. schesis, taken to indicate an Undillan, possibly late Floran, age.",Encarnacion et al. (1999)
